origem_ponto,origem_lat,origem_long,destino_ponto,destino_lat,destino_long
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Instituto Butantan, São Paulo, SP, Brasil",-23.56699385,-46.72040888262042
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Parque Villa-Lobos, São Paulo, SP, Brasil",-23.5439238,-46.725835
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Centro Cultural São Paulo, São Paulo, SP, Brasil",-23.5700325,-46.64023039547913
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Universidade de São Paulo (USP, Portão 1), São Paulo, SP, Brasil",-23.56663,-46.7091
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Igreja de São Bento, São Paulo, SP, Brasil",-23.5439504,-46.6366131
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Praça Roosevelt, São Paulo, SP, Brasil",-23.54869465,-46.64678129316892
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Rua Augusta, São Paulo, SP, Brasil",-23.559829,-46.6619973
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Teatro Municipal de São Paulo, São Paulo, SP, Brasil",-23.54528045,-46.6386378327257
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Edifício Itália, São Paulo, SP, Brasil",-23.54552955,-46.64357659411765
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Biblioteca Mário de Andrade, São Paulo, SP, Brasil",-23.54738975,-46.64210482783021
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Sambódromo do Anhembi, São Paulo, SP, Brasil",-23.5201591,-46.646941
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Estação da Luz, São Paulo, SP, Brasil",-23.53512225,-46.63539301511077
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Museu de Arte de São Paulo (MASP), São Paulo, SP, Brasil",-23.561409,-46.6607528
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Centro Cultural Banco do Brasil, São Paulo, SP, Brasil",-23.5475552,-46.6346871
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Parque da Independência, São Paulo, SP, Brasil",-23.58068085,-46.6093112
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Praça da Sé, São Paulo, SP, Brasil",-23.5503898,-46.6330809
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Conjunto Nacional, São Paulo, SP, Brasil",-23.55904075,-46.66023550128296
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"UPA - Vila Santa Catarina, São Paulo, SP, Brasil",-23.6567612,-46.6561865
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Teatro J. Safra, São Paulo, SP, Brasil",-23.5163523,-46.6792215
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Parque Ecológico do Tietê, São Paulo, SP, Brasil",-23.50206745,-46.53855120749404
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Shopping Aricanduva, São Paulo, SP, Brasil",-23.565902,-46.50307491040508
